1205965 Vasconcelos, Luiz Carlos
74557 Barron, Shawn
936470 Presley, Elvis
776819 Mercurio, Paul
843803 Nicholas, Thomas Ian
248209 Crowe, Russell
818681 Muldoon, Patrick
523938 Howard, Kyle
1157953 Thewlis, David
188020 Castellitto, Sergio
773290 Mellor, Jonathan
523533 Howard, Arliss
821973 Murphy, Cillian
762272 McGregor, Ewan
611444 Kirby, Luke
92431 Benitez, Mike
660118 Lawrence, Martin
284473 Delgado, Sean
859043 O'Donnell, Keir
433417 Goode, Matthew
1072146 Shrapnel, John
969169 Renfro, Brad
660118 Lawrence, Martin
757910 McCoy, Matt
880007 Pacino, Al
94649 Benton, Mark
231494 Coogan, Steve
532475 Hurst, Michael
262288 Daniels, Gary
305781 Donaruma, J.D.
118095 Boeving, Christian
105555 Biggs, Jason
22278 Allende, Salvador
140422 Bridges, Beau
715197 Madsen, Michael
162085 Butler, Gerard
37761 Anzilotti, Perry
858600 O'Connor, Michael
261431 Dane, Lawrence
207869 Choi, Seong-min
1177673 Travolta, John
204371 Cheung, Leslie
762381 McGrory, Matthew
83432 Beatty, Warren
1192109 Underwood, Blair
1003640 Roth, Nick
1103827 Spector, Dan
675446 Leung Chiu Wai, Tony
973010 Rhee, Phillip
1177673 Travolta, John
1094907 Snipes, Wesley
945794 Quaid, Randy
1124198 Strathairn, David
940739 Pryce, Jonathan
152687 Buchanan, Bruce
72282 Barnett, Gemini
1012174 Russo, James
1071611 Shore, Pauly
230242 Conroy, Kevin
1108974 Stahl, Nick
